image_file,image_path,climate,avg_sat_pct,avg_val_pct,avg_lightness_pct,neutral_ratio_pct,warm_ratio_pct,cool_ratio_pct,neutral_temp_ratio_pct,dominant_hue_bucket,dominant_temp_bin,atmosphere,product_type,object_association
A-GD1.jpg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD1.jpg,brazil,39.61,67.58,54.6,0,57.95,42.05,0,yellow,warm,saturated,drink,social/human/human
A-GD10.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD10.jpeg,brazil,44.48,59.38,45.13,0,64.18,35.82,0,cyan,warm,saturated,cosmetic,social/human/human
A-GD11.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD11.jpeg,brazil,41,66.41,51.85,0,79.59,20.41,0,yellow-green,warm,saturated,drink,fruitss
A-GD12.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD12.jpeg,brazil,28.88,58.13,50.34,26.72,70.58,2.7,26.72,orange,warm,neutral,drink,social/human
A-GD13.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD13.jpeg,brazil,68.51,68.69,44.8,2.06,69.03,28.91,2.06,orange,warm,saturated,drink,vegetation
A-GD14.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD14.jpeg,brazil,57.28,66.99,46.42,0.69,63.38,35.93,0.69,orange,warm,saturated,drink,animal
A-GD15.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD15.jpeg,brazil,59,77,55.13,0,100,0,0,orange,warm,saturated,drink,animal
A-GD16.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD16.jpeg,brazil,55.92,67.25,47.9,0,43.95,56.05,0,cyan-blue,cool,saturated,drink,animal
A-GD17.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD17.jpeg,brazil,65.05,63.52,42.82,19.03,49.87,31.1,19.03,yellow,warm,saturated,drink,vegetation
A-GD18.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD18.jpeg,brazil,41.7,68.16,54.03,0,100,0,0,orange,warm,saturated,cosmetic,social/human
A-GD19.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD19.jpeg,brazil,40.82,43.72,35.23,13.35,10.42,76.23,13.35,cyan,cool,saturated,drink,fruits
A-GD2.jpg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD2.jpg,brazil,56.4,56.42,42.39,0,69.52,30.48,0,orange,warm,saturated,other,social/human
