image_file,image_path,climate,avg_sat_pct,avg_val_pct,avg_lightness_pct,neutral_ratio_pct,warm_ratio_pct,cool_ratio_pct,neutral_temp_ratio_pct,dominant_hue_bucket,dominant_temp_bin,atmosphere,type
"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg",brazil,38.09,60.89,51.28,27,70.46,2.54,27,yellow,warm,saturated,vegetation
"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg",brazil,49.05,60.62,47.09,0,1.94,98.06,0,cyan-blue,cool,saturated,water
Acapalms.jpg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/Acapalms.jpg,brazil,55.09,54.83,42.73,23.36,76.64,0,23.36,yellow,warm,saturated,vegetation
AdobeStock_129245850.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_129245850.jpeg,brazil,32.11,54.84,45.31,0,95.72,4.28,0,orange,warm,saturated,sky
AdobeStock_134676572.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_134676572.jpeg,brazil,23.3,42.76,37.32,0,100,0,0,orange,warm,neutral,sky
AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,brazil,47.2,58.93,42.91,0,13.95,86.05,0,cyan-blue,cool,saturated,sky
AdobeStock_1771110907.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1771110907.jpeg,brazil,9.4,60.33,57.54,97.19,2.81,0,97.19,orange,neutral,neutral,vegetation
AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,brazil,42.83,48.85,38.82,5.62,65.75,28.63,5.62,cyan-blue,warm,saturated,water
AdobeStock_312409176.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_312409176.jpeg,brazil,31.97,47.15,38.86,7.11,53.75,39.14,7.11,yellow,warm,saturated,water
AdobeStock_314481487.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_314481487.jpeg,brazil,45.5,65.14,48.74,39.36,3.31,57.32,39.36,cyan,cool,neutral,sky
AdobeStock_441629663.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_441629663.jpeg,brazil,28.39,53.79,46.44,0,12.66,87.34,0,cyan-blue,cool,neutral,water
