climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg",1,#7B7A32,123,122,50,59.18,yellow,59.35,48.24,33.92,warm,False,48.6457,97126
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg",2,#DDE8EB,221,232,235,192.86,cyan,5.96,92.16,89.41,neutral,True,27.0049,53918
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg",3,#8D7963,141,121,99,31.43,orange,29.79,55.29,47.06,warm,False,21.8096,43545
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_18.jpg",4,#25301B,37,48,27,91.43,yellow-green,43.75,18.82,14.71,cool,False,2.5398,5071
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg",1,#365582,54,85,130,215.53,cyan-blue,58.46,50.98,36.08,cool,False,75.0074,149756
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg",2,#B9D1EB,185,209,235,211.2,cyan-blue,21.28,92.16,82.35,cool,False,23.0518,46024
brazil_nature,"2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg","/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/2023_Trindade_and_Martin_Vaz,_Marinha_do_Brasil_65.jpg",3,#958B7E,149,139,126,33.91,orange,15.44,58.43,53.92,warm,False,1.9408,3875
brazil_nature,Acapalms.jpg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/Acapalms.jpg,1,#596018,89,96,24,65.83,yellow,75.0,37.65,23.53,warm,False,56.7012,96959
brazil_nature,Acapalms.jpg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/Acapalms.jpg,2,#D7E1EE,215,225,238,213.91,cyan-blue,9.66,93.33,88.82,neutral,True,23.3626,39950
brazil_nature,Acapalms.jpg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/Acapalms.jpg,3,#98843A,152,132,58,47.23,yellow,61.84,59.61,41.18,warm,False,14.2023,24286
brazil_nature,Acapalms.jpg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/Acapalms.jpg,4,#848F69,132,143,105,77.37,yellow-green,26.57,56.08,48.63,warm,False,5.7339,9805
brazil_nature,AdobeStock_129245850.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_129245850.jpeg,1,#4D4136,77,65,54,28.7,orange,29.87,30.2,25.69,warm,False,47.6375,95075
brazil_nature,AdobeStock_129245850.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_129245850.jpeg,2,#BA9A93,186,154,147,10.77,red,20.97,72.94,65.29,warm,False,35.4895,70830
brazil_nature,AdobeStock_129245850.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_129245850.jpeg,3,#EA904F,234,144,79,25.16,orange,66.24,91.76,61.37,warm,False,10.8854,21725
brazil_nature,AdobeStock_129245850.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_129245850.jpeg,4,#6C93AB,108,147,171,202.86,cyan-blue,36.84,67.06,54.71,cool,False,4.2755,8533
brazil_nature,AdobeStock_129245850.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_129245850.jpeg,5,#FFD909,255,217,9,50.73,yellow,96.47,100.0,51.76,warm,False,1.7121,3417
brazil_nature,AdobeStock_134676572.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_134676572.jpeg,1,#665750,102,87,80,19.09,orange,21.57,40.0,35.69,warm,False,95.1041,189880
brazil_nature,AdobeStock_134676572.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_134676572.jpeg,2,#F6B86A,246,184,106,33.43,orange,56.91,96.47,69.02,warm,False,4.8959,9775
brazil_nature,AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,1,#7BA0AD,123,160,173,195.6,cyan-blue,28.9,67.84,58.04,cool,False,36.3348,72546
brazil_nature,AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,2,#11A4D4,17,164,212,194.77,cyan,91.98,83.14,44.9,cool,False,29.3203,58541
brazil_nature,AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,3,#1E2E28,30,46,40,157.5,green-cyan,34.78,18.04,14.9,cool,False,19.6534,39240
brazil_nature,AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,4,#6D6C5C,109,108,92,56.47,yellow,15.6,42.75,39.41,warm,False,13.2941,26543
brazil_nature,AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,5,#1A5B31,26,91,49,141.23,green-cyan,71.43,35.69,22.94,cool,False,0.7403,1478
brazil_nature,AdobeStock_1683731213.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1683731213.jpeg,6,#9F6859,159,104,89,12.86,red,44.03,62.35,48.63,warm,False,0.6571,1312
brazil_nature,AdobeStock_1771110907.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1771110907.jpeg,1,#C9BBB4,201,187,180,20.0,orange,10.45,78.82,74.71,neutral,True,53.9357,107688
brazil_nature,AdobeStock_1771110907.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1771110907.jpeg,2,#4E4947,78,73,71,17.14,orange,8.97,30.59,29.22,neutral,True,28.9422,57786
brazil_nature,AdobeStock_1771110907.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1771110907.jpeg,3,#9E989A,158,152,154,340.0,magenta,3.8,61.96,60.78,neutral,True,14.3108,28573
brazil_nature,AdobeStock_1771110907.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_1771110907.jpeg,4,#090907,9,9,7,60.0,yellow,22.22,3.53,3.14,warm,False,2.8113,5613
brazil_nature,AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,1,#335672,51,86,114,206.67,cyan-blue,55.26,44.71,32.35,cool,False,28.6306,57143
brazil_nature,AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,2,#7C605D,124,96,93,5.81,red,25.0,48.63,42.55,warm,False,28.2288,56341
brazil_nature,AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,3,#1D2412,29,36,18,83.33,yellow-green,50.0,14.12,10.59,warm,False,21.9954,43900
brazil_nature,AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,4,#E09F68,224,159,104,27.5,orange,53.57,87.84,64.31,warm,False,14.5671,29074
brazil_nature,AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,5,#F8EDDD,248,237,221,35.56,orange,10.89,97.25,91.96,neutral,True,5.6241,11225
brazil_nature,AdobeStock_190095573.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_190095573.jpeg,6,#FEE46E,254,228,110,49.17,yellow,56.69,99.61,71.37,warm,False,0.954,1904
brazil_nature,AdobeStock_312409176.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_312409176.jpeg,1,#616544,97,101,68,67.27,yellow,32.67,39.61,33.14,warm,False,53.7544,107296
brazil_nature,AdobeStock_312409176.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_312409176.jpeg,2,#30342D,48,52,45,94.29,yellow-green,13.46,20.39,19.02,cool,False,16.8363,33606
brazil_nature,AdobeStock_312409176.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_312409176.jpeg,3,#8BA9CB,139,169,203,211.88,cyan-blue,31.53,79.61,67.06,cool,False,13.7572,27460
brazil_nature,AdobeStock_312409176.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/brazil nature/AdobeStock_312409176.jpeg,4,#1675BB,22,117,187,205.45,cyan-blue,88.24,73.33,40.98,cool,False,8.5424,17051
