climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
egypt_nature_clean,00trav-Egypt-Desert-04-kcwm-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-Egypt-Desert-04-kcwm-superJumbo.webp,1,#CACBCC,202,203,204,210.0,cyan-blue,0.98,80.0,79.61,neutral,True,89.7961,179118
egypt_nature_clean,00trav-Egypt-Desert-04-kcwm-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-Egypt-Desert-04-kcwm-superJumbo.webp,2,#C29B72,194,155,114,30.75,orange,41.24,76.08,60.39,warm,False,10.2039,20354
egypt_nature_clean,00trav-Egypt-Desert-kzpc-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-Egypt-Desert-kzpc-superJumbo.webp,1,#88898E,136,137,142,230.0,blue,4.23,55.69,54.51,neutral,True,70.2314,140092
egypt_nature_clean,00trav-Egypt-Desert-kzpc-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-Egypt-Desert-kzpc-superJumbo.webp,2,#614C3B,97,76,59,26.84,orange,39.18,38.04,30.59,warm,False,29.7686,59380
egypt_nature_clean,00trav-Egypt-Deserts-02-kfpt-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-Egypt-Deserts-02-kfpt-superJumbo.webp,1,#67584C,103,88,76,26.67,orange,26.21,40.39,35.1,warm,False,67.0004,133647
egypt_nature_clean,00trav-Egypt-Deserts-02-kfpt-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-Egypt-Deserts-02-kfpt-superJumbo.webp,2,#50779B,80,119,155,208.8,cyan-blue,48.39,60.78,46.08,cool,False,32.9996,65825
egypt_nature_clean,00trav-egypt-desert-03-pjct-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-egypt-desert-03-pjct-superJumbo.webp,1,#A78971,167,137,113,26.67,orange,32.34,65.49,54.9,warm,False,100.0,198018
egypt_nature_clean,00trav-egypt-desert-jfwv-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-egypt-desert-jfwv-superJumbo.webp,1,#4E3E31,78,62,49,26.9,orange,37.18,30.59,24.9,warm,False,75.7224,151045
egypt_nature_clean,00trav-egypt-desert-jfwv-superJumbo.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/00trav-egypt-desert-jfwv-superJumbo.webp,2,#C8B29E,200,178,158,28.57,orange,21.0,78.43,70.2,warm,False,24.2776,48427
egypt_nature_clean,13298364-two-trees-on-the-desert-in-egypt.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/13298364-two-trees-on-the-desert-in-egypt.jpg,1,#C0A585,192,165,133,32.54,orange,30.73,75.29,63.73,warm,False,75.8904,151519
egypt_nature_clean,13298364-two-trees-on-the-desert-in-egypt.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/13298364-two-trees-on-the-desert-in-egypt.jpg,2,#DCE3EA,220,227,234,210.0,cyan-blue,5.98,91.76,89.02,neutral,True,24.1096,48136
egypt_nature_clean,1438010_0.jpeg.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/1438010_0.jpeg.webp,1,#A9824E,169,130,78,34.29,orange,53.85,66.27,48.43,warm,False,94.5814,188809
egypt_nature_clean,1438010_0.jpeg.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature egypt/1438010_0.jpeg.webp,2,#C6C9CC,198,201,204,210.0,cyan-blue,2.94,80.0,78.82,neutral,True,5.4186,10817
