index,climate,image_file,image_path,n_colors,warm_pct,cool_pct,neutral_pct,avg_hue_deg,avg_sat_pct,avg_val_pct,avg_lightness_pct,dominant_hex,dominant_pct
0,brazil,A-GD1.jpg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD1.jpg,8,57.954,42.046,0.0,81.51,39.61,67.58,54.6,#F0F1CB,35.48
1,brazil,A-GD10.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD10.jpeg,8,64.184,35.816,0.0,42.19,44.48,59.38,45.13,#5DA7A3,35.816
2,brazil,A-GD11.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD11.jpeg,7,79.587,20.413,0.0,71.14,41.0,66.41,51.85,#A2AD82,47.871
3,brazil,A-GD12.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD12.jpeg,4,70.58,2.705,26.715,16.93,28.88,58.13,50.34,#BDAD96,42.72
4,brazil,A-GD13.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD13.jpeg,6,69.033,28.911,2.056,47.86,68.51,68.69,44.8,#DEA646,42.444
5,brazil,A-GD14.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD14.jpeg,5,63.376,35.931,0.693,67.62,57.28,66.99,46.42,#437040,35.931
6,brazil,A-GD15.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD15.jpeg,4,100.0,0.0,0.0,45.58,59.0,77.0,55.13,#ECD69D,47.614
7,brazil,A-GD16.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD16.jpeg,7,43.953,56.048,0.0,151.44,55.92,67.25,47.9,#5F8AB1,46.934
8,brazil,A-GD17.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD17.jpeg,10,49.873,31.095,19.032,54.11,65.05,63.52,42.82,#CDA31B,41.817
9,brazil,A-GD18.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD18.jpeg,3,100.0,0.0,0.0,25.23,41.7,68.16,54.03,#DCBA86,57.213
10,brazil,A-GD19.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD19.jpeg,6,10.423,76.231,13.346,133.36,40.82,43.72,35.23,#567E74,34.354
11,brazil,A-GD2.jpg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD2.jpg,6,69.515,30.485,0.0,22.89,56.4,56.42,42.39,#D6C299,39.929
12,brazil,A-GD20.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD20.jpeg,4,100.0,0.0,0.0,41.95,50.47,83.91,61.7,#E9D896,54.793
13,brazil,A-GD21.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD21.jpeg,8,59.189,31.422,9.389,81.18,85.49,81.27,46.75,#E5D208,52.365
14,brazil,A-GD22.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD22.jpeg,4,65.07,34.93,0.0,58.57,34.57,55.13,45.25,#BF8D79,45.993
15,brazil,A-GD23.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD23.jpeg,6,70.275,6.575,23.15,40.97,76.34,91.45,57.3,#FBC704,49.249
16,brazil,A-GD24.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD24.jpeg,9,70.09,25.979,3.931,46.05,52.25,74.53,55.66,#E8CFA3,31.876
17,brazil,A-GD25.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD25.jpeg,7,36.861,26.321,36.818,67.75,35.9,53.4,43.94,#8D9999,33.85
18,brazil,A-GD26.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD26.jpeg,6,13.175,71.647,15.179,148.89,32.9,66.93,56.46,#96B199,38.627
19,brazil,A-GD27.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD27.jpeg,7,60.214,29.047,10.739,358.0,44.46,57.64,44.17,#B87257,38.525
20,brazil,A-GD28.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD28.jpeg,6,51.29,28.264,20.446,19.21,44.69,75.29,58.96,#E4CA6F,32.95
21,brazil,A-GD29.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD29.jpeg,5,92.873,7.127,0.0,30.01,60.23,57.72,37.65,#CD7F18,43.058
22,brazil,A-GD3.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD3.jpeg,9,71.485,16.544,11.972,43.51,48.61,76.36,58.34,#D86134,23.652
23,brazil,A-GD30.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD30.jpeg,5,23.29,13.987,62.723,49.52,31.99,66.24,56.95,#BDC0B0,62.723
24,brazil,A-GD31.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD31.jpeg,10,77.937,21.468,0.0,21.42,43.73,61.17,49.37,#C4BAA1,44.98
25,brazil,A-GD32.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/images_brazil/A-GD32.jpeg,4,87.356,9.777,2.867,42.21,24.44,71.1,61.89,#D4B595,66.548
