climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,1,#D86134,216,97,52,16.46,orange,75.93,84.71,52.55,warm,False,23.6517,29151
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,2,#EBF187,235,241,135,63.4,yellow,43.98,94.51,73.73,warm,False,21.8522,26933
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,3,#699DC9,105,157,201,207.5,cyan-blue,47.76,78.82,60.0,cool,False,12.6904,15641
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,4,#E2F0E0,226,240,224,112.5,green,6.67,94.12,90.98,neutral,True,11.9715,14755
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,5,#708848,112,136,72,82.5,yellow-green,47.06,53.33,40.78,warm,False,7.7468,9548
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,6,#E8B7A6,232,183,166,15.45,orange,28.45,90.98,78.04,warm,False,7.7119,9505
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,7,#1B1B14,27,27,20,60.0,yellow,25.93,10.59,9.22,warm,False,6.2377,7688
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,8,#591B19,89,27,25,1.88,red,71.91,34.9,22.35,warm,False,4.2848,5281
brazil,A-GD1.jpeg,images_brazil/A-GD1.jpeg,9,#041149,4,17,73,228.7,blue,94.52,28.63,15.1,cool,False,3.8531,4749
brazil,A-GD10.jpeg,images_brazil/A-GD10.jpeg,1,#BDAD96,189,173,150,35.38,orange,20.63,74.12,66.47,warm,False,42.7196,84865
brazil,A-GD10.jpeg,images_brazil/A-GD10.jpeg,2,#732C33,115,44,51,354.08,red,61.74,45.1,31.18,warm,False,27.8602,55346
brazil,A-GD10.jpeg,images_brazil/A-GD10.jpeg,3,#737C7E,115,124,126,190.91,cyan,8.73,49.41,47.25,neutral,True,26.7155,53072
brazil,A-GD10.jpeg,images_brazil/A-GD10.jpeg,4,#403542,64,53,66,290.77,purple,19.7,25.88,23.33,cool,False,2.7047,5373
brazil,A-GD11.jpeg,images_brazil/A-GD11.jpeg,1,#DEA646,222,166,70,37.89,orange,68.47,87.06,57.25,warm,False,42.4441,84398
brazil,A-GD11.jpeg,images_brazil/A-GD11.jpeg,2,#BB3315,187,51,21,10.84,red,88.77,73.33,40.78,warm,False,22.3003,44343
brazil,A-GD11.jpeg,images_brazil/A-GD11.jpeg,3,#425B29,66,91,41,90.0,yellow-green,54.95,35.69,25.88,cool,False,20.9545,41667
brazil,A-GD11.jpeg,images_brazil/A-GD11.jpeg,4,#348D6D,52,141,109,158.43,green-cyan,63.12,55.29,37.84,cool,False,7.9564,15821
brazil,A-GD11.jpeg,images_brazil/A-GD11.jpeg,5,#574018,87,64,24,38.1,orange,72.41,34.12,21.76,warm,False,4.2883,8527
brazil,A-GD11.jpeg,images_brazil/A-GD11.jpeg,6,#FDFDFC,253,253,252,60.0,yellow,0.4,99.22,99.02,neutral,True,2.0564,4089
brazil,A-GD12.jpeg,images_brazil/A-GD12.jpeg,1,#437040,67,112,64,116.25,green,42.86,43.92,34.51,cool,False,35.9313,68059
brazil,A-GD12.jpeg,images_brazil/A-GD12.jpeg,2,#BBA06A,187,160,106,40.0,orange,43.32,73.33,57.45,warm,False,32.8904,62299
brazil,A-GD12.jpeg,images_brazil/A-GD12.jpeg,3,#D8BF13,216,191,19,52.39,yellow,91.2,84.71,46.08,warm,False,22.7259,43046
brazil,A-GD12.jpeg,images_brazil/A-GD12.jpeg,4,#EB601B,235,96,27,19.9,orange,88.51,92.16,51.37,warm,False,7.7597,14698
brazil,A-GD12.jpeg,images_brazil/A-GD12.jpeg,5,#FDFCEF,253,252,239,55.71,yellow,5.53,99.22,96.47,neutral,True,0.6927,1312
brazil,A-GD13.jpeg,images_brazil/A-GD13.jpeg,1,#ECD69D,236,214,157,43.29,orange,33.47,92.55,77.06,warm,False,47.6142,94448
brazil,A-GD13.jpeg,images_brazil/A-GD13.jpeg,2,#3B4517,59,69,23,73.04,yellow,66.67,27.06,18.04,warm,False,19.8048,39285
brazil,A-GD13.jpeg,images_brazil/A-GD13.jpeg,3,#C19818,193,152,24,45.44,yellow,87.56,75.69,42.55,warm,False,17.998,35701
brazil,A-GD13.jpeg,images_brazil/A-GD13.jpeg,4,#F44708,244,71,8,16.02,orange,96.72,95.69,49.41,warm,False,14.583,28927
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,1,#5F8AB1,95,138,177,208.54,cyan-blue,46.33,69.41,53.33,cool,False,46.9344,93254
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,2,#ECDB39,236,219,57,54.3,yellow,75.85,92.55,57.45,warm,False,16.9304,33639
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,3,#B0312E,176,49,46,1.38,red,73.86,69.02,43.53,warm,False,12.9408,25712
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,4,#636D1F,99,109,31,67.69,yellow,71.56,42.75,27.45,warm,False,12.7133,25260
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,5,#5A6F51,90,111,81,102.0,yellow-green,27.03,43.53,37.65,cool,False,5.8347,11593
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,6,#6B948D,107,148,141,169.76,cyan,27.7,58.04,50.0,cool,False,3.2785,6514
brazil,A-GD14.jpeg,images_brazil/A-GD14.jpeg,7,#241F21,36,31,33,336.0,magenta,13.89,14.12,13.14,warm,False,1.368,2718
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,1,#CDA31B,205,163,27,45.84,yellow,86.83,80.39,45.49,warm,False,41.8171,83173
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,2,#CDC6BA,205,198,186,37.89,orange,9.27,80.39,76.67,neutral,True,17.7765,35357
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,3,#112D6C,17,45,108,221.54,cyan-blue,84.26,42.35,24.51,cool,False,14.045,27935
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,4,#1B321A,27,50,26,117.5,green,48.0,19.61,14.9,cool,False,12.2264,24318
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,5,#2F0A30,47,10,48,298.42,purple,79.17,18.82,11.37,cool,False,3.3932,6749
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,6,#CA531B,202,83,27,19.2,orange,86.63,79.22,44.9,warm,False,2.992,5951
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,7,#C77E6A,199,126,106,12.9,red,46.73,78.04,59.8,warm,False,2.5883,5148
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,8,#8A2848,138,40,72,340.41,magenta,71.01,54.12,34.9,warm,False,2.4752,4923
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,9,#0F2A34,15,42,52,196.22,cyan-blue,71.15,20.39,13.14,cool,False,1.4304,2845
brazil,A-GD15.jpeg,images_brazil/A-GD15.jpeg,10,#717B6F,113,123,111,110.0,green,9.76,48.24,45.88,neutral,True,1.2559,2498
brazil,A-GD16.jpeg,images_brazil/A-GD16.jpeg,1,#DCBA86,220,186,134,36.28,orange,39.09,86.27,69.41,warm,False,57.2127,113573
brazil,A-GD16.jpeg,images_brazil/A-GD16.jpeg,2,#67413B,103,65,59,8.18,red,42.72,40.39,31.76,warm,False,39.7013,78811
brazil,A-GD16.jpeg,images_brazil/A-GD16.jpeg,3,#E5A435,229,164,53,37.84,orange,76.86,89.8,55.29,warm,False,3.086,6126
brazil,A-GD17.jpeg,images_brazil/A-GD17.jpeg,1,#567E74,86,126,116,165.0,cyan,31.75,49.41,41.57,cool,False,34.354,68638
brazil,A-GD17.jpeg,images_brazil/A-GD17.jpeg,2,#315D25,49,93,37,107.14,green,60.22,36.47,25.49,cool,False,24.0075,47966
brazil,A-GD17.jpeg,images_brazil/A-GD17.jpeg,3,#1F3226,31,50,38,142.11,green-cyan,38.0,19.61,15.88,cool,False,17.8692,35702
brazil,A-GD17.jpeg,images_brazil/A-GD17.jpeg,4,#96A1A3,150,161,163,189.23,cyan,7.98,63.92,61.37,neutral,True,13.3461,26665
brazil,A-GD17.jpeg,images_brazil/A-GD17.jpeg,5,#90851C,144,133,28,54.31,yellow,80.56,56.47,33.73,warm,False,8.8225,17627
brazil,A-GD17.jpeg,images_brazil/A-GD17.jpeg,6,#969B6B,150,155,107,66.25,yellow,30.97,60.78,51.37,warm,False,1.6006,3198
brazil,A-GD18.jpeg,images_brazil/A-GD18.jpeg,1,#E9D896,233,216,150,47.71,yellow,35.62,91.37,75.1,warm,False,54.7929,108874
brazil,A-GD18.jpeg,images_brazil/A-GD18.jpeg,2,#F04E1F,240,78,31,13.49,red,87.08,94.12,53.14,warm,False,28.399,56429
brazil,A-GD18.jpeg,images_brazil/A-GD18.jpeg,3,#474E37,71,78,55,78.26,yellow-green,29.49,30.59,26.08,warm,False,13.7886,27398
brazil,A-GD18.jpeg,images_brazil/A-GD18.jpeg,4,#F5B946,245,185,70,39.43,orange,71.43,96.08,61.76,warm,False,3.0196,6000
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,1,#E5D208,229,210,8,54.84,yellow,96.51,89.8,46.47,warm,False,52.3652,103970
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,2,#048DAA,4,141,170,190.48,cyan,97.65,66.67,34.12,cool,False,24.4747,48594
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,3,#E3E4CD,227,228,205,62.61,yellow,10.09,89.41,84.9,neutral,True,9.3892,18642
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,4,#199439,25,148,57,135.61,green-cyan,83.11,58.04,33.92,cool,False,5.2949,10513
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,5,#C05E20,192,94,32,23.25,orange,83.33,75.29,43.92,warm,False,4.7923,9515
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,6,#95CD88,149,205,136,108.7,green,33.66,80.39,66.86,cool,False,1.652,3280
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,7,#EFDC68,239,220,104,51.56,yellow,56.49,93.73,67.25,warm,False,1.2002,2383
brazil,A-GD19.jpeg,images_brazil/A-GD19.jpeg,8,#787A34,120,122,52,61.71,yellow,57.38,47.84,34.12,warm,False,0.8315,1651
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,1,#092E7B,9,46,123,220.53,cyan-blue,92.68,48.24,25.88,cool,False,48.2101,95736
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,2,#F2DF31,242,223,49,54.09,yellow,79.75,94.9,57.06,warm,False,29.4056,58394
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,3,#C5281B,197,40,27,4.59,red,86.29,77.25,43.92,warm,False,10.15,20156
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,4,#270715,39,7,21,333.75,magenta,82.05,15.29,9.02,warm,False,3.7607,7468
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,5,#3E3E21,62,62,33,60.0,yellow,46.77,24.31,18.63,warm,False,3.3739,6700
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,6,#B25912,178,89,18,26.62,orange,89.89,69.8,38.43,warm,False,2.822,5604
brazil,A-GD2.jpeg,images_brazil/A-GD2.jpeg,7,#C1CFA6,193,207,166,80.49,yellow-green,19.81,81.18,73.14,warm,False,2.2777,4523
brazil,A-GD20.jpeg,images_brazil/A-GD20.jpeg,1,#BF8D79,191,141,121,17.14,orange,36.65,74.9,61.18,warm,False,45.9929,91743
